"jobtitle","company","location","salary","companysize","companyrating","summary"
"SRE Data Scientist","Apple","Santa Clara Valley, CA","NA",nan,52.2,"5+ years of data mining / analytics. Leverage tools like R, PHP, Python, Hadoop & SQL to drive efficient analytics...."
"Quantitative Research and Risk Analyst","Charles Schwab","Lone Tree, CO 80124","NA",599,51.6,"NA"
"Machine Learning Data Scientist","Crisis Text Line","New York, NY","NA",28,56.4,"ResponsibilitiesThe Machine Learning Data Scientist will analyze large and fast moving data sets to build data products and inform business strategy...."
"Data Scientist, Consumer Credit Risk","Toyota","Dallas, TX","NA",nan,51.0,"Descriptive analytics (univariate and multivariate statistics or data visualization). The TFS Consumer Credit Risk Analytics team is looking for a passionate..."
"Statistical Scientist I","Children's Hospital of Philadelphia","Philadelphia, PA 19104 (Belmont area)","NA",420,51.6,"Advanced skills and knowledge in biostatistics, statistical methods in medical and clinical research, and clinical epidemiology...."
"Data Scientist IV","Sears Holdings Management Corporation","Hoffman Estates, IL 60179","NA",nan,41.4,"DE performing data mining, extraction and analytics from large data warehouses, applying optimization models for business decision support, and applying machine..."
"Machine Learning Engineer","Belkin","Seattle, WA","NA",19,42.0,"A Master of Science degree or a Doctoral degree with applied machine learning and signal processing experience, in Electrical Engineering, Computer Science,..."
"Data Analyst/Scientist","Open iT Inc.","Houston, TX 77094","NA",nan,nan,"NA"
"Data Scientist","PulsePoint","New York, NY","NA",8,43.8,"MS/PhD in Astronomy, Physics, Applied Mathematics, Statistics, Machine Learning, Computer Science; Research and investigate academic and industrial data mining,..."
"Data Scientist","Advantage SCI","Washington, DC","NA",11,52.2,"Data Scientist Levels 1-5. At level 5, supervises, manages, and reviews work outputs of lower level scientists...."
"Data Scientist","Cerner Corporation","Kansas City, MO","NA",675,43.2,"The State and Public Health Data Scientist role will create novel analytics to support population health, evaluate program performance, present results, and..."
"Data Scientist","Pathfinder Search Group","Chicago, IL","$45 - $75 an hour",nan,nan,"NA"
"Data Expert - Advanced Analytics","McKinsey & Company","Boston, MA","NA",278,52.8,"You will work with data scientists, tool developers, consultants and clients on projects that use complex data and advanced modeling to solve client problems..."
"Associate Data Scientist","ZestFinance","Los Angeles, CA","NA",3,39.0,"NA"
"Technology - GSAM Tech - Data Science and Machine Learning E...","Goldman Sachs","New York, NY 10282 (Tribeca area)","NA",889,51.6,"IMD Knowledge Management team is looking to expand its presence in New York with the addition of a senior data scientist and machine learning engineer...."
"Data Scientist","Avanade","Philadelphia, PA","NA",114,43.8,"NA"
"Data Scientist-San Francisco, CA","Accelon","San Francisco, CA","NA",nan,nan,"As a Data Scientist your job responsibilities are:. Demonstrated examples of working with business partners to deliver a solution that met objectives...."
"Data Scientist","Stanford University","Stanford, CA 94305","NA",345,52.8,"Industry experience as a data scientist. The Biostatistician 1 will work closely with senior statistician(s) to manage relevant databases as necessary, design..."
"Data Scientist","Numentica LLC","Kennesaw, GA","NA",nan,nan,"Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine..."
"Data Scientist","JB Hunt","Lowell, AR","NA",nan,40.8,"Lead data mining and analytics projects with high potential return. Identify and prioritize enterprise data analytics opportunities...."
"Data Scientist, Advertising Analytics","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"As a hands-on data scientists you will work not only on generating insights from the data but also on extracting the data as needed...."
"Data Scientist - Emerging Leaders in Science Program","MONSANTO","St. Louis, MO","NA",nan,52.2,"Monsanto's Emerging Leaders in Science (ELS) scientific leadership recruitment and career development program is seeking top scientific talent to join our..."
"Data Scientist - Test & Learn Analytics","J.Crew Group, Inc.","New York, NY 10003 (Greenwich Village area)","NA",588,44.4,"NA"
"Data Insights and Analytics Analyst","Syngenta","Minnetonka, MN","NA",523,51.6,"The Data Insights and Analytics team will responsible for collecting, stitching together and analyzing data to enable insights, behavior models, and..."
"Data Scientist - Health Data Science","Quartet","New York, NY 10018 (Clinton area)","NA",3,55.2,"Design and develop algorithms to find predictive health patterns that combine heterogeneous data from electronic health records, healthcare claims, and other..."
"Data Analyst","T. Rowe Price","Owings Mills, MD","NA",210,51.0,"Works closely with Lead Manager and Data Scientists on analytical modeling projects. Partners with GBS applications, architecture, Data Scientists and database..."
"Data Scientist","Lawrence Livermore National Laboratory (LLNL)","Livermore, CA 94550","NA",81,52.2,"Data intensive applications, text processing, graph analysis, machine learning, statistical learning, information visualization, low-level data management, data..."
"Data Scientist","JAMES RIVER MANAGEMENT","Richmond, VA","NA",nan,nan,"The Data Scientist will drive transformational change through machine learning, data analytics, and evidence-supported decision making...."
"Toxicology Data Review/Certifying Scientist","Ammon Analytical Laboratory","Linden, NJ","NA",3,43.2,"We are looking for an experienced Certifying Scientist to join our data review team. 1+ years LC-MS/MS certifying and releasing experience in a clinical setting..."
"Data Scientist - Periscope","McKinsey & Company","Waltham, MA","NA",278,52.8,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
"Data Scientist, Product","Twitter","San Francisco, CA 94103 (South Of Market area)","NA",40,51.0,"Twitter data scientists create increasingly sophisticated models of users and content. Write Map-Reduce jobs in Scalding/Spark, complex SQL queries, R and..."
"Data Scientist","Thermo Fisher Scientific","Carlsbad, CA 92009","NA",nan,42.6,"BS in computer science, data science, data analytics, or applied statistics. 3+ years of experience with machine learning, data mining, statistical modeling..."
"Data Analyst","ZF TRW","Livonia, MI","NA",745,44.4,"The Data Scientist / Analyst will look at data with a mathematical mind-set with profound skills like machine learning, data mining, data analysis and..."
"Vans Data Scientist","VF Corporation","Costa Mesa, CA","NA",478,43.8,"Vans Data Scientist :. As the Data Scientist, Retail Analytics you and your efforts will provide exceptional leadership in the development and execution of..."
"Engineering Scientist - R and D Computational Linguistics De...","University of Texas at Austin","Austin, TX","$6,250 - $10,833 a month",538,52.8,"Advanced coursework or significant experience related to content understanding (computational linguistics, data mining, graph analysis, knowledge representation..."
"Data Scientist","RangTech","New York, NY","NA",15,55.2,"Experience/Interest in machine learning, data mining, and predictive analysis. Experience in building production machine learning systems using big data...."
"Data Scientist, Strategic Finance (Fall 2017) - Internship/C...","Uber","San Francisco, CA 94103 (South Of Market area)","NA",214,44.4,"Technical understanding must go from the highest abstractions down to the metal.Prior professional/internship experience delivering, scaling, and owning highly..."
"Quantitative Researcher, Growth","Facebook","Menlo Park, CA","NA",189,52.2,"Deliver insights and recommendations clearly to relevant audiences Ability to ask, as well as answer, meaningful and impactful questions...."
"Machine Learning Engineer","Toyota Research Institute","Los Altos, CA","NA",nan,nan,"You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast..."
"Decision Scientist","Regions Bank","Birmingham, AL","NA",nan,43.8,"In operations research, applied statistics, data mining, machine learning or related quantitative discipline...."
"Data Analyst","POLICE DEPARTMENT","New York, NY","$70,286 - $88,213 a year",53,52.2,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools. For Assignment Level I (only physical, biological and..."
"Data Scientist","Mist Systems","Cupertino, CA","NA",nan,nan,"NA"
"NA","Lazard Ltd.","New York, NY","NA",nan,nan,"Work together with data scientists to develop new data, analytics, and visualizations. Familiarity with JavaScript/CSS data visualization frameworks...."
"Data Science Consultant, Cognitive Computing - IBM Consultin...","IBM","Columbus, OH 43228 (Westland area)","NA",nan,51.0,"Train and supervise Junior Data Scientists. These candidates will have a strong mathematics or statistics background, and will have worked with Statistical..."
"Machine learning specialist","Nexlend Capital","New York, NY","NA",nan,nan,"Working knowledge of R, Python, and SQL, or similar industry standard tools used for data analysis and modeling...."
"Data Scientist","Under Armour Connected Fitness","San Francisco, CA","NA",451,44.4,"We are looking for a data scientist who wants to design and build intelligent user-facing data products using machine learning and computer vision technologies...."
"Principal Data Management & Quantitative Analysis","BNY Mellon","Pittsburgh, PA 15219 (Middle Hill area)","NA",nan,42.6,"Has a deep understanding of the relevant products in assigned area and which analyses, methodologies and approaches best support assessment of performance, risk..."
"Clinical Data Scientist, Research and Early Development","Biogen","Cambridge, MA","NA",305,51.6,"NA"
"Data Management Analyst - ENG V","Native Hawaiian Veterans","Colorado Springs, CO","NA",7,52.8,"NA"
"Solution Analyst Data Analytics with Deloitte","Deloitte","Orlando, FL","NA",nan,51.0,"NA"
