"jobtitle","company","location","salary","companysize","companyrating","summary"
"Software Development Engineer - AWS AI","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"Come and be part of the Amazon AWS Artificial Intelligence team! We are a cloud AWS service that helps customers run machine learning algorithms on various Big..."
"Statistical Physicist - Quantum/A.I.","Wuxi NextCODE","Cambridge, MA","NA",nan,nan,"He/she will directly account to the VP of Statistical Sciences and interface with an Artificial Intelligence team developing next-generation qubit control and..."
"Senior Manager of Artificial Intelligence","Aspirant","Pittsburgh, PA 15212","NA",nan,nan,"Aspirant, is a global management consulting firm dedicated to our mission of delivering greater value to our clients faster. Through globally-experienced,"
"Software Engineer - Deep Learning","HIRECLOUT","Mountain View, CA","NA",nan,nan,"An artificial intelligence company in the Bay Area is looking for a Software Engineer with Deep Learning experience.Responsibilities:...."
"Graduate Intern","Intel","Hillsboro, OR 97124","NA",nan,52.2,"Job Description Amazing experiences start with amazing opportunities. Join us at Intel for a summer internship. As an intern with our company, you will work"
"Consultant for artificial intelligence and robotics educatio...","Forobot","Rowland Heights, CA 91748","$2,000 - $4,500 a month",nan,nan,"To introduce and recommend artificial intelligence and robot education curriculum to parents and the surrounding primary and middle schools in combination with..."
"Quant Developer - High Frequency Trading","Option Quant Inc.","New York, NY","NA",nan,nan,"OQuant is bringing disruption to global capital and crypto markets with several cutting edge projects, all which converge from our breakthroughs in mathematical..."
"AI Composition Software Engineer","Amper Music, Inc","New York, NY 10013 (Tribeca area)","NA",nan,nan,"Familiarity with machine learning and artificial intelligence methods and best practices. Amper is an artificial intelligence composer, performer, and producer..."
"Quantitative Developer","Clearpool Group","New York State","NA",nan,nan,"NA"
"Research Staff Member, Artificial Intelligence","IBM","United States","NA",nan,51.0,"PhD in Machine Learning, Artificial Intelligence, Computer Science, Applied Mathematics or related technical fields...."
"Software Engineer IV","Nextgen Technologies","San Jose, CA 95112 (Downtown area)","NA",nan,nan,"Artificial Intelligence - Computer Vision @NPD. This is an IOS ENGINEER ROLE****...."
"Roboticist","Universal Logic, Inc.","Nashville, TN 37217 (Una area)","NA",nan,nan,"Universal Robotics has created a form of artificial intelligence (Neocortex) that using sensor data to update control system behavior in real time...."
"Technical Automation Developer","Black & Veatch","Overland Park, KS","NA",294,43.8,"Experience with Bots, Artificial Intelligence and Machine Learning, preferred. Acts independently under general direction...."
"Game Software Engineer","Aptima","Orlando, FL 32826","NA",nan,nan,"The ideal candidate will also possess experience with Agile development as well as experience with multiplayer/network applications, 3D rendering, artificial..."
"Full Stack Engineer - Opportunity to Impact Patient Lives","AiCure","New York, NY","$120,000 - $160,000 a year",nan,nan,"You'll be up to speed in the the most recent advances in Artificial Intelligence (machine learning, computer vision, big data) while solving challenging..."
"Accounts Payable Clerk","ZT Systems","Secaucus, NJ 07094","NA",23,32.4,"A new world of digital business and enhanced human connectivity is emerging, enabled by innovations in artificial intelligence, natural language interfaces,..."
"Research Scientist (Machine Learning)","NVIDIA","Westford, MA 01886","NA",137,52.2,"We are passionate about deep learning, reinforcement learning, semi-supervised and unsupervised learning, but are also considering other areas of machine..."
"Lead Web Apps Engineer","Rocket Fuel Inc.","Redwood City, CA","NA",nan,nan,"Through artificial intelligence at big data scale, we optimize performance, awareness, and lift across channels for agencies and marketers...."
"Data Scientist 2 - Microsoft Economics","Microsoft","Redmond, WA 98052","NA",nan,52.2,"The Office of the CVP, Chief Economist is part of the Artificial Intelligence and Research (AI+R) Organization...."
"Quantitative Trader / Developer","Sentient","San Francisco, CA","NA",4,30.0,"Sentient Technologies is the leader in applying artificial intelligence to transform digital commerce. Combining evolutionary computation, deep learning and..."
"DSP Research Engineer-Music Information Retrieval","iZotope, Inc.","Cambridge, MA 02139 (Area IV area)","NA",nan,nan,"Current knowledge of modern artificial intelligence / machine learning techniques in audio analysis and processing. DSP Research Engineer...."
"Applied Research Scientist (Deep Learning Algorithms)","NVIDIA","Santa Clara, CA","NA",137,52.2,"NVIDIA is leading the way in groundbreaking developments in Artificial Intelligence, High-Performance Computing and Visualization...."
"AVP - Robotic Process Automation Consulting Firm","Symphony Ventures","Dallas, TX","NA",nan,nan,"NA"
"Machine Learning Engineer (REF 20170417JK)","Striim, Inc.","Palo Alto, CA","NA",nan,nan,"MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field...."
"Software Engineer, Siri Speech","Apple","Cambridge, MA","NA",nan,52.2,"Create groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence...."
"Healthcare - Research Staff Member, Artificial Intelligence","IBM","United States","NA",nan,51.0,"PhD in Biomedical Informatics, Biostatistics, Computer Science, Machine Learning, Artificial Intelligence or related fields...."
"AI Architect/Engineer/Researcher","Intellipro Group Inc.","San Francisco Bay Area, CA","NA",nan,nan,"Strong background in Machine Learning or Artificial Intelligence Area. Participate in cutting-edge researches including areas of artificial intelligence and..."
"Research Intern, Software Architecture of Connected Car Syst...","Toyota InfoTechnology Center","Mountain View, CA 94043","NA",nan,51.0,"NA"
"Machine Learning Architect","Asurion","Nashville, TN 37214","NA",nan,43.8,"Machine learning, large-scale data mining or artificial intelligence. Hands-on in the delivery of enterprise data-lake on AWS and the required solutions to meet..."
"Computational Research Scientist (Natural Language Processin...","Memorial Sloan Kettering","New York, NY","NA",504,52.2,"The right candidate will have a track record of developing new quantitative methods such as Machine Learning, Artificial Intelligence (AI), or Natural Language..."
"Artificial Intelligence (AI)/ Machine Learning (ML) IT Resea...","UBS","Weehawken, NJ","NA",nan,44.4,"Actively participate in the design and development of Artificial Intelligence solutions at UBS. We're looking for someone like this with experience in..."
"Research Engineer","Amazon Corporate LLC","Palo Alto, CA","NA",nan,43.2,"Our mission is to push the envelope in Artificial Intelligence (AI), Natural Language Understanding (NLU), Machine Learning (ML), Dialog Management, Automatic..."
"NA","Microsoft","Phoenix, AZ","NA",nan,52.2,"Our role is to assist these heroes and augment what they do with our expertise in cloud, business processes, enterprise productivity, and Artificial..."
"Senior Manager, Product Image Operations","Wayfair","Boston, MA 02116 (South End area)","NA",189,42.0,"NA"
"Research Scientist: LIDAR, LADAR, Laser Remote Sensing","Lockheed Martin","Louisville, CO 80027","NA",nan,51.6,"Machine learning, deep learning, artificial intelligence, and other advanced processing techniques. Perform the research, analysis, design and development of..."
"Data Science Solution Manager","ShortestTrack","Boston, MA","$50,000 - $60,000 a year",nan,nan,"The data science solution manager builds, manages, and administers a team of data scientists working to develop an artificial intelligence solution to specific..."
"Director, Product Management","Propel Media","Irvine, CA 92614","NA",nan,nan,"The successful candidate will have a proven product management track record delivering market leading performance advertising solutions and will understand ad..."
"Software Development Engineer in Test - Ohio","Paxata","Columbus, OH","NA",2,60.0,"Built on Apache Spark TM and optimized to run in Apache Hadoop TM , Paxata leverages automated artificial intelligence, elastic cloud architecture and..."
"Test Engineer (electromechanical systems)","iRobot Corporation","Bedford, MA","NA",15,51.6,"NA"
"SEO Search Strategist","AptoZen","Lake Geneva, WI","NA",nan,nan,"Our client is passionate about building holistic, high-impact SEO strategies for the era of RankBrain and artificial intelligence;..."
"SOFTWARE ENGINEER","Microsoft","Bellevue, WA","NA",nan,52.2,"NA"
"Business Analyst","Iodine Software","Austin, TX 78759 (Arboretum area)","NA",nan,nan,"By leveraging groundbreaking technologies like Natural Language Processing, Machine Learning, and Artificial Intelligence, our platform drives significant..."
"Public Policy Manager (Artificial Intelligence and Emerging...","Google","Mountain View, CA","NA",nan,52.8,"Primary issues will include those related to Artificial Intelligence and machine learning, virtual reality and other emerging technologies...."
"2017-2018 Campus Graduate - Information Systems Analyst","The Dow Chemical Company","United States","NA",846,51.6,"They will support critical business and technical needs for Dow business, research, and manufacturing functions around the world in a variety of technology..."
"Executive Recruiter","SER","Wayne, PA","$40,000 - $100,000 a year",nan,nan,"NA"
"Business Development Manager, Federal AI Solutions","Intel","Washington, DC 20037 (Foggy Bottom area)","NA",nan,52.2,"NA"
"Researcher - FLA - Sunnyvale, CA","Fujitsu","Sunnyvale, CA 94085","NA",944,43.2,"Researcher - FLA - Sunnyvale, CA - FLA00340 Description FUJITSU LABORATORIES OF AMERICA, INC. (FLA) was established in 1993 as a wholly owned subsidiary..."
"Jr/Mid Intelligence Analyst - Active Top Secret/SCI eligible","CSRA","Vienna, VA","NA",161,41.4,"CSRA is currently seeking a Junior/Mid level Intelligence Analyst to join our team in Vienna, VA. AS the selected Intelligence Analyst , you will be responsible..."
"DSP and Algorithms IP Engineer","Intel","San Jose, CA 95125 (Willow Glen area)","NA",nan,52.2,"The DSP and Algorithms IP Engineer will develop exciting IP for DSP and accelerating cloud and datacenter applications using Intel FPGAs.You will work with a..."
"Gameplay Programmer","Rockstar San Diego","Carlsbad, CA","NA",nan,nan,"Rockstar San Diego is searching for enthusiastic individuals to join our Gameplay team. As part of the team you will be directly involved in creating the end"
"NA","TechWave International","Houston, TX","NA",nan,nan,"This could be your best chance to work on latest technology (Cloud, Big Data Analytics, Artificial Intelligence, Machine Learning, NLP and more) in a..."
"Applied Scientist - Amazon Video - X-Men Team (Seattle, WA)","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"Expertise on a broad set of ML approaches and techniques, ranging from Artificial Neural Networks to Bayesian Non-Parametrics methods...."
"Siri Software Engineer - Apple TV","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Create groundbreaking technology for artificial intelligence. Play a part in the next revolution in human-computer interaction...."
"Customer Success Manager - East/Northeast","HireVue","Remote","NA",7,53.4,"Combining predictive, validated I/O science with artificial intelligence allows business to augment human decision-making in the hiring process, delivering..."
"Sr. Product Manager - Data Analytics and Machine Learning","8x8 Inc.","San Jose, CA","NA",35,43.2,"NA"
"Software Engineer (Delivery Engaged)","Soroco","Boston, MA","NA",nan,nan,"NA"
"Analytic Insights - Solutions Senior Associate","PwC","Tampa, FL 33602 (Downtown area)","NA",nan,51.0,"NA"
"Siri Integration Engineer - Sports","Apple","Santa Clara Valley, CA","NA",nan,52.2,"NA"
"NPD Business Intelligence Algorithm Specialist","Wheels, Inc.","Des Plaines, IL 60016","NA",9,41.4,"NA"
"Research Staff Member - Cognitive Computing","IBM","United States","NA",nan,51.0,"NA"
"Data Scientist","Kogentix","Schaumburg, IL 60173","NA",2,51.0,"NA"
"Software Engineer - ML/AI Platform","Databricks","San Francisco, CA","NA",nan,nan,"NA"
"Senior Backend Engineer (Python, Node.js, AI) | New York","Intelletec","New York, NY","$170,000 a year",nan,nan,"NA"
"Big Data Engineer","Coso IT","New York, NY","NA",nan,nan,"NA"
"Assistant Professor","New Mexico State University","New Mexico","$90,000 a year",175,52.8,"NA"
"Associate Experience Designer - Moonshot","1871","Chicago, IL","NA",3,52.8,"NA"
"Microelectronics Technology Consultant","Booz Allen Hamilton","Arlington, VA","NA",nan,44.4,"NA"
"Intelligent Systems Engineer","Riverside Research","Wright-Patterson AFB, OH","NA",7,53.4,"NA"
"Senior Policy Fellow/Policy Counsel","Loyola Marymount University","Los Angeles, CA 90045","NA",82,53.4,"NA"
"Deep Learning Solution Architect","NVIDIA","Massachusetts","NA",137,52.2,"NA"
"Executive Assistant","Cogito Corporation","Boston, MA 02109 (Central area)","NA",nan,nan,"NA"
"Software Engineer, Data","Guru","Philadelphia, PA","NA",9,43.2,"NA"
"NA","Intel","Santa Clara, CA 95052","NA",nan,52.2,"NA"
"Research Scientist, Guardian/Autonomous Driving","Toyota Research Institute","Los Altos, CA","NA",nan,nan,"NA"
"NA","Apple","Seattle, WA","NA",nan,52.2,"NA"
"Robotics and Machine Learning Scientist","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"NA"
"Data Scientist","Pros.","Houston, TX","NA",nan,nan,"NA"
"Deep Learning R&D Engineer","Intel","San Diego, CA 92129","NA",nan,52.2,"NA"
"Software Engineer, Graphics","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Research Assistant Professor","Virginia Tech","Blacksburg, VA","NA",331,54.0,"NA"
"Software Engineer, PhD Intern/Co-op (Machine Learning)","Facebook","Menlo Park, CA","NA",189,52.2,"NA"
"Siri Advanced Development, Software Engineer","Apple","Seattle, WA","NA",nan,52.2,"NA"
"Senior Hardware Engineer","Microsoft","Redmond, WA 98052","NA",nan,52.2,"NA"
"Machine Learning Software Engineer","Health at Scale Corporation","Palo Alto, CA","NA",nan,nan,"NA"
"Computer Vision and Machine Learning Engineer","Raytheon","Dulles, VA","NA",nan,51.0,"NA"
"Artificial Intelligence / Artificial Empathy Specialist","Buy It Installed, Inc.","Irvine, CA","$42,000 - $58,000 a year",nan,nan,"NA"
"Data Scientist","Conversica","Seattle, WA 98104 (First Hill area)","NA",4,43.8,"NA"
"Machine Learning / AI Engineer","Turnberry Solutions","Philadelphia, PA 19103 (Belmont area)","NA",3,43.2,"NA"
"Machine Learning Software Engineer","Intel","San Jose, CA 95125 (Willow Glen area)","NA",nan,52.2,"NA"
"Speech Web Applications Engineer - TTS","Apple","Santa Clara Valley, CA","NA",nan,52.2,"NA"
"AI Research/Software Development Engineer, Alexa Artificial...","Amazon Corporate LLC","Sunnyvale, CA","NA",nan,43.2,"NA"
"Research Engineer","Booz Allen Hamilton","Annapolis Junction, MD","NA",nan,44.4,"NA"
"NA","Vox Media","San Francisco, CA 94103 (South Of Market area)","NA",6,43.8,"An interest in obsessively covering Google, Alphabet, and the rise of artificial intelligence. Recode is looking for an San Francisco-based staff reporter to..."
"Front End / UXD Software Engineer","Nanotronics","Brooklyn, NY","$125,000 - $140,000 a year",nan,nan,"Our software team is making nanoimaging fast, accurate and cost-efficient by combining optical and atomic force microscopy with machine learning and artificial..."
"Customer Experience Representative","REX - Real Estate Exchange","Woodland Hills, CA 91367","NA",nan,nan,"Using artificial intelligence, big data, and machine learning, we are eliminating real estate agent commissions, selling homes faster, and saving people a lot..."
"SOFTWARE DEVELOPER I","BBVA Compass","Dallas, TX","NA",497,42.6,"Statistical or predictive modeling using Artificial Intelligence, Machine Learning Cloud technologies, DevOps, CI/CD concepts and tooling MS degree in Computer..."
"Showing Representative","REX - Real Estate Exchange","Escondido, CA 92025","NA",nan,nan,"Using artificial intelligence, big data, and machine learning, we are eliminating real estate agent commissions, selling homes faster, and saving people a lot..."
"Part Time Developer","Stealth Mode","San Francisco Bay Area, CA","NA",nan,nan,"Our team contains of outstanding collection of Artificial Intelligence technologists, developers, and business savvy people but that is not why we are different..."
"Associate Editor","MIT","Cambridge, MA","NA",194,51.6,"ASSOCIATE EDITOR, MIT Technology Review, to provide coverage of important trends throughout the world of technology, with a focus on artificial intelligence or..."
"Chief of Staff","HealthTap","Palo Alto, CA","NA",4,43.8,"NA"
"Software Engineer","Monetate","United States","NA",nan,nan,"Our cutting-edge technology leverages artificial intelligence (AI) and processed more than 2.1 billion personalized pages over Cyber weekend alone, offering..."
"Fraud Risk Consultant","TORI Global","New York, NY 10005 (Financial District area)","NA",nan,nan,"Understanding of technologies within a fraud context including artificial intelligence, RPA and machine learning. Fraud Risk Consultant*...."
"Research Scientist - Software","Physical Optics Corporation","Torrance, CA","NA",4,40.8,"Hands-on developmental experience with data mining, image/video processing, computer vision, and artificial intelligence:...."
"Customer Success Analyst","Nauto","Palo Alto, CA","NA",nan,nan,"NA"
"Analyst LP Fraud Detection","Staples","Framingham, MA 01702","NA",nan,42.6,"Description Position Summary: In this role you will be responsible for fraud detection through research and analysis of large data sets, visual analytics, and..."
"Innovation Architect","Northern Trust Corp.","Chicago, IL","NA",700,44.4,"2+ years of experience in engineering complex IoT and/or artificial intelligence applications or services. Design, innovate and build solutions that enable the..."
"Consulting by Degrees Cognitive Consultant Public Service Se...","IBM","Washington, DC 20005 (Logan Circle area)","NA",nan,51.0,"Experience with class projects implementing Artificial Intelligence or Machine Learning solutions preferred. Accounting, Applied Mathematics, Applied Sciences,..."
"Data Quality Automation Engineer","Demandbase","San Francisco, CA","NA",3,51.0,"Drive the next generation of intelligent CRM technologies and invent how Artificial Intelligence, product design, and applications converge...."
"Senior Director - Machine Learning, Artificial Intelligence...","Icertis","San Jose, CA","NA",3,40.8,"Innovate and champion new product roadmap that delivers market differentiation and delightful user experience. Execute product strategy within a high-velocity"
"User Experience Designer","Amper Music, Inc.","New York, NY","$60,000 - $80,000 a year",nan,nan,"We are a team of musicians, technologists, and passionate creators who believe that humans and artificial intelligence are extraordinary, creative collaborators..."
"Design Verification Engineer","Intel","Santa Clara, CA 95052","NA",nan,52.2,"NA"
"Siri Software Engineer, Productivity","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Create groundbreaking technology for artificial intelligence. Play a part in the next revolution in human-computer interaction...."
"Machine Learning Scientist/Engineer","AM Pierce & Associates","Patuxent River, MD","NA",3,60.0,"3-5 years of internships or work experience in artificial intelligence, data science, machine learning, big-data analysis or machine vision;..."
"Director of Data Science","Booz Allen Hamilton","McLean, VA","NA",nan,44.4,"4+ years of experience with Big Data Architecture, Big Table structures, Data platform, Hadoop clusters, Machine and Deep Learning, Computer Visioning,..."
"Backend Software Engineer","AiCure","New York, NY","NA",nan,nan,"You'll be up to speed in the the most recent advances in Artificial Intelligence (Machine Learning, Computer Vision, Big Data) while solving challenging..."
"Senior Data Scientist","Intuit","San Diego, CA 92129","NA",750,52.2,"Artificial intelligence and applying innovative machine learning. Intuit is hiring a Data Scientist to...."
"Research Associate, Technology & National Security Program","Center for a New American Security","Washington, DC","NA",nan,nan,"Artificial intelligence and automation raise profound questions about the role of humans in conflict and war...."
"Research Scientist for Quantum Computing","Universities Space Research Association","Mountain View, CA","NA",8,53.4,"NA"
"Director of Machine Learning","UPMC","Pittsburgh, PA 15206 (Larimer area)","NA",507,42.6,"Lead and mentor a team whose responsibility is to develop prototype solutions at the intersection of healthcare and artificial intelligence...."
"Senior Software Engineer, Dynamic Object Tracking","Toyota Research Institute","Los Altos, CA","NA",nan,nan,"And (4) accelerate scientific discovery by applying techniques from artificial intelligence and machine learning...."
"Software Engineer, Computational Photography","Google","Mountain View, CA","NA",nan,52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
"Compute Performance Developer Technology Engineer","NVIDIA","Santa Clara, CA","NA",137,52.2,"Deep Learning, Artificial Intelligence, Autonomous Vehicles, Supercomputing and more. We are now looking for a Compute Performance Developer Technology Engineer..."
"WW (CoC) - Talent & Engagement - Talent Analytics","IBM","United States","NA",nan,51.0,"At least 5 years experience defining and implementing business-focused talent analytics capabilities for HR organizations, such as predictive models and..."
"Siri Data Engineer","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Create groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence...."
"Senior Product Marketing Manager","Microsoft","Redmond, WA 98052","NA",nan,52.2,"Drive the fiscal-year editorial calendar for Data, Advanced Analytics, and Artificial Intelligence, ensuring a connective marketing tissue across the business...."
"BI Engineer - Alexa Engagement","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"We use artificial intelligence, data mining and usability studies to develop new features, and we test them through hundreds of R & D experiments a year...."
"Office Coordinator","Demandbase","New York, NY","NA",3,51.0,"Drive the next generation of intelligent CRM technologies and invent how Artificial Intelligence, product design, and applications converge...."
"Serious Game Engineer","Cubic Corporation","Orlando, FL 32809","NA",132,42.6,"Multiplayer/network applications, 3D rendering, artificial intelligence, or game development experience is highly desired. Serious Game Engineer...."
"Business Engineer - Derivatives Clearing","Credit Suisse","Raleigh, NC","NA",930,51.0,"Robotics, Utilization, Artificial Intelligence). Credit Suisse is a leading global wealth manager with strong investment banking and asset management..."
"Student Intern - PHP Web Developer","TechWave International","Houston, TX","NA",nan,nan,"This could be your best chance to work on latest technology (Cloud, Big Data Analytics, Artificial Intelligence, Machine Learning, NLP and more) in a..."
"Machine Learning Researcher, Platform Architecture","Apple","Seattle, WA","NA",nan,52.2,"Researching, developing and implementing the most innovative machine learning, artificial intelligence, computer vision and NLP techniques...."
"Technical Community Manager","Mycroft AI Inc","Kansas City, MO","$40,000 - $70,000 a year",nan,nan,"NA"
"2017 - 2018 Campus Internship - Information Systems Analyst","The Dow Chemical Company","Midland, MI","NA",846,51.6,"They will support critical business and technical needs for Dow business, research, and manufacturing functions around the world in a variety of technology..."
"Linux Container Software Development Engineer","NVIDIA","Santa Clara, CA","NA",137,52.2,"NA"
"Sr. Analytic Scientist","FICO","San Diego, CA","NA",91,43.2,"Be a part of a team who helps to wipe out financial fraud activities by staying at the forefront of Artificial Intelligence (AI) and Machine Learning (ML)...."
"SQA Engineer","Align Technology Inc","San Jose, CA","NA",36,51.0,"Behind the scenes, we leverage new 3D computerized treatment simulation and artificial intelligence as well as 3D printing, complex bio-mechanics and advanced..."
"Data Engineer (Associate to Principal)","XPO Logistics","Portland, OR 97209 (Pearl District area)","NA",nan,40.8,"This team is responsible for end to end data management which includes, data modeling, data integration, data warehousing and providing business benefits..."
"Digital Design Engineer","Intel","Santa Clara, CA 95052","NA",nan,52.2,"NA"
"Software Engineer, Language Technologies","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Create groundbreaking technology for large-scale systems, spoken language, big data, and artificial intelligence...."
"Director of Sales - Hospitals / Healthcare","OfferCraft","Las Vegas, NV","$100,000 - $200,000 a year",nan,nan,"The technology is incredibly innovative, and combines gamification with artificial intelligence to motivate true behavior change...."
"SAP Big Data Strategist","Cognizant","Cherry Hill, NJ","NA",nan,51.0,"NA"
"Co-Op / Intern","ZF TRW","Livonia, MI","NA",745,44.4,"To offer digital products and services, we need to build knowledge in Super Computing, Artificial Intelligence and New Business Models...."
"KDD Conference: Data Scientists and Machine Learning Researc...","American Express","New York, NY","NA",nan,52.2,"Research in machine learning, data science, and artificial intelligence; American Express invites you, KDD 2017 attendants and/or affiliates, to share your..."
"Patent Agent (In-house)","Brain Corporation","San Diego, CA","NA",nan,nan,"Brain Corporation, a startup that applies artificial intelligence and machine learning to robotics, is seeking an in-house IP Agent/Manager to assist in the..."
"Research Scientist - MEMS | Mobile Sensors","EyeVerify, Inc.","Kansas City, OR","NA",nan,nan,"You will develop new biometric products through your expertise in human motion, motion sensor technology, sensor fusion techniques and artificial intelligence...."
"Big Data Engineer","CVS Health","Richardson, TX","NA",nan,42.6,"Understanding of Machine Learning and Artificial Intelligence advanced analytics. Analyzing Big Data Analytic technologies and applications in both business..."
"Data Subject Matter Expert","Scienaptic Systems Inc","New York, NY","NA",nan,nan,"We are creating ecosystems where artificial intelligence (AI) and human intelligence can work together to create greater consciousness for specific business use..."
"Health Advocate","Wellframe","Boston, MA","NA",nan,nan,"About Wellframe Wellframe is a Boston-based digital health company focused on building the next generation of infrastructure for care delivery by combining..."
"ML Engineer","Cognitive Scale","Austin, TX","NA",nan,nan,"Strong interest in, and knowledge of Artificial Intelligence and its subfields. We live in a moment of remarkable change and opportunity that is cognitive..."
"Machine Learning Scientist","Adobe","San Jose, CA","NA",328,52.2,"Machine learning, natural language processing, computer vision, classifiers, large-scale data mining or artificial intelligence...."
"Multimodal Machine Learning Scientist","Amazon Corporate LLC","Cambridge, MA","NA",nan,43.2,"NA"
"Artificial Intelligence Software Engineer","Lockheed Martin","Palmdale, CA 93599","NA",nan,51.6,"The engineer will join a fast paced, rapid prototyping team focused on applied artificial intelligence. The Skunk Works (Lockheed Martin Advanced Development..."
"Deep Learning Data Processing Software Engineer","NVIDIA","Santa Clara, CA","NA",137,52.2,"Deep Learning, Artificial Intelligence, and Autonomous Vehicles. We are now looking for a Deep Learning Data Processing Software Engineer:...."
"Embedded/Mobile Engineer - Maps Research","Uber","Palo Alto, CA 94304","NA",214,44.4,"Do you want to push the limits of what is possible in terms of applying artificial intelligence techniques on mobile phones?..."
"Chief Data Scientist","SmartAssist.io","Bellevue, WA","NA",nan,nan,"SmartAssist is looking for a Chief Data Scientist leading a team of Data Scientists to build an Artificial Intelligence and Machine Learning application in the..."
"Machine Learning Engineer","imo.im","Palo Alto, CA 94306 (Barron Park area)","NA",nan,nan,"Participate in cutting edge research in artificial intelligence and machine learning applications. 1 year of work or educational experience in Machine Learning..."
"AI / Machine Learning Researcher, Financial Services","Sentient","San Francisco, CA","NA",4,30.0,"NA"
"CTO","iSpace Inc.","El Segundo, CA 90245","NA",nan,nan,"Skilled with strategizing enterprise data strategy, i.e. analytics, reporting, data warehousing, machine learning, artificial intelligence...."
"Artificial Intelligence Security Researcher","Intel","Hillsboro, OR 97124","NA",nan,52.2,"This role will focus on the research/design/development of hardware/software architectures and prototypes of leading edge security solutions leveraging the..."
"Machine Learning","Vertisystem","Santa Clara, CA","NA",nan,nan,"Machine learning, recommendation systems, categorization, large-scale data mining or artificial intelligence, NLP...."
"Machine Learning Researcher","Apple","Santa Clara Valley, CA","NA",nan,52.2,"The Artificial Intelligence Research team in an Apple Special Projects Group is looking for Research Scientists and Engineers...."
"Artificial Intelligence Engineer","Accenture","Chicago, IL","NA",nan,51.0,"Artificial Intelligence resources at the Consultant level will be responsible for developing cognitive applications to solve business problems using leading AI..."
"Systems Engineer (UTM)","Thales","United States","NA",323,51.0,"Thales has created a new cloud-hosted product aimed at improving aeronautical operations by leveraging modern IT capabilities and emerging Big Data techniques..."
"Postdoctoral Research Fellowship","University of Michigan","Ann Arbor, MI","NA",713,53.4,"Use of mobile health technology to improve chronic illnesses Treatment of diabetes and associated complications Management of depression and dementia among the..."
"Machine Learning Engineer","Radiance Technologies Inc.","Dayton, OH 45431","NA",nan,nan,"Radiance is seeking a Machine Learning Engineer who will advance the artificial intelligence capabilities of the National Air and Space Intelligence Center at..."
"Intern, Simulation Environment Development","Toyota InfoTechnology Center","Mountain View, CA 94043","NA",nan,51.0,"NA"
"ETL Data Engineer","Partners HealthCare(PHS)","Boston, MA","NA",243,51.0,"The Center for Clinical Data Science (CCDS) aims to transform healthcare through cutting-edge data science, machine learning, and artificial intelligence (AI)...."
"Senior Manager, Product Management","E*TRADE FINANCIAL","Chicago, IL","NA",242,43.2,"The primary responsibilities for the Senior Manager will be leading an innovation lab focusing on blockchain, artificial intelligence, and emerging technologies..."
"Event Management - SecureWorks","Dell","Atlanta, GA","NA",nan,51.0,"NA"
"Staff ML Engineer","Visa","Austin, TX","NA",439,51.0,"2 years of work experience in Machine Learning or Artificial Intelligence. As a machine learning engineer, you will be responsible for designing and..."
"Senior Data Scientist","Hyperloop One","Los Angeles, CA","NA",5,51.0,"The Data Scientist will be part of the Machine Intelligence and Analytics team. Develop metrics and evaluation criteria to characterize and quantify system..."
"Principal Data Scientist","Ampsight","Virginia","NA",nan,nan,"MS or PhD in a quantitative discipline like Computer Science (with focus on Machine Learning, Artificial Intelligence), Statistics, Math, Physics, etc...."
"Siri Software Engineer - Geos","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Create groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence...."
"Digital Marketing Consultant","NextGen Intelligent Marketing Solutions","Columbus, OH","$100,000 - $250,000 a year",nan,nan,"Our solutions include *Artificial Intelligence Marketing Solutions, Virtual Reality, Advanced Proprietary Software targeting solutions, mobile advertising, SEO,..."
"Analyst, Marketing Sciences","Blackwood Seven","Los Angeles, CA","NA",nan,nan,"NA"
"Head of Data and Analytics Architecture","Citi","United States","NA",nan,44.4,"NA"
"Implementation Manager","HealthMine","Dallas, TX 75219 (Oak Lawn area)","NA",nan,nan,"The Only Health Intelligence Solution:. HealthMine has developed the only Health Intelligence solution for health insurers that uses artificial intelligence to..."
"Rotational Development Program, Software Engineer","Trimble Inc.","Westminster, CO","NA",nan,nan,"Domain related experience or knowledge with computer vision, photogrammetry, 3D modeling, artificial Intelligence, signal processing, image recognition, GNSS or..."
"Artificial Intelligence (AI) Developer","Cambria Solutions, Inc","Sacramento, CA","NA",nan,nan,"Deep Learning, Machine Learning, Natural Language Processing, Computer Vision, Recommendation Systems, Pattern Recognition, Large Scale Data Mining or..."
